mdp.39015002326026
mdp.39015071587581
coo1.ark:/13960/t1mg86c1d
uc1.31822035071596
uc1.31822021093810
uc2.ark:/13960/t8cf9mg5f
mdp.39015035851461
mdp.39015069782327
mdp.39015047837706
wu.89096562459
uc1.32106019313854
uc2.ark:/13960/t3pv6h39m
coo1.ark:/13960/t7cr6cc1z
mdp.39015002380122
uc2.ark:/13960/t08w38f8c
uc2.ark:/13960/t4pk0b48r
mdp.49015002960665
umn.319510018722461
uc1.31822031947542
mdp.39015005137123
uc1.$b250962
mdp.39015007941019
uc1.$b708496
uc1.32106005363772
uc1.32106008966845
mdp.39015008203187
uc1.31822026108779
loc.ark:/13960/t8v98wh5s
pst.000022879769
mdp.39015067007750
hvd.hx4zqb
uc1.31175035158107
coo.31924052121955
uc1.32106007612275
iau.31858009653837
mdp.39015050819005
pst.000006544911
nyp.33433074837711
ucm.5326666626
nyp.33433082502638
uc1.$b109824
hvd.32044086825999
mdp.39015018842123
mdp.39015016840871
uc1.31158003084414
mdp.39015058444400
uva.x000329858
mdp.39015042846140
mdp.39015005130821
uc1.b3293510
coo.31924013344381
hvd.hwjwcn
osu.32435027746585
mdp.39015064459384
mdp.39015056937314
inu.32000006466553
hvd.rsl1xz
mdp.39015002228594
osu.32435030346449
inu.30000110618398
wu.89088972088
hvd.32044096989066
osu.32435063978316
uva.x000460284
mdp.39015057935069
mdp.39015008840038
uiug.30112019604807
uc1.$b286060
uc1.$b307386
hvd.32044106357718
hvd.32044054746383
gri.ark:/13960/t1qg27h8n
uc1.b4097776
mdp.39015015510491
uiuo.ark:/13960/t5bc50h15
uc1.31175035182941
miua.2917136.0001.001
uiuo.ark:/13960/t3tt4hc9b
mdp.39015005081511
umn.319510015520903
aeu.ark:/13960/t8w95qg5f
uc2.ark:/13960/t48p5z26j
uiug.30112058526648
loc.ark:/13960/t0pr90p8t
pst.000049174786
pst.000018816501
nyp.33433093608846
mdp.39015011869107
mdp.39015018912918
mdp.39015036784745
hvd.hn3rhk
njp.32101075987832
mdp.39015009912877
mdp.39015006130051
uc1.b4095944
uc1.b4586991
uc1.32106006333915
uc1.31158003231866
uc1.$b105983
hvd.32044086971074
pst.000031982092
mdp.39015048958568
uiuo.ark:/13960/t3hx2m361
uc1.31822035060409
uc1.32106001662540
dul1.ark:/13960/t7sn3r103
hvd.32044055004261
uc1.$b104177
mdp.39015005727097
uc1.b3322682
mdp.39015057148317
uiug.30112019836755
mdp.39015011007997
mdp.39015016616958
uc1.$b538470
pst.000024438919
uc1.b3427742
wu.89101029015
uiuo.ark:/13960/t4bp12x06
hvd.hn1l13
nyp.33433075739841
nyp.33433004637934
mdp.39015000468283
uiuo.ark:/13960/t00z7t48p
njp.32101075375327
mdp.39015078571679
uc1.b3131951
umn.31951002008074s
hvd.hl38c4
mdp.35112105474714
mdp.39015030806643
mdp.39015028767740
coo.31924019147143
uc1.b3894826
wu.89094659042
nyp.33433038423269
uva.x000936633
coo.31924017831672
ncs1.ark:/13960/t9377vq3g
hvd.32044017434689
hvd.32044031828056
mdp.39015055116068
mdp.39015037034199
mdp.39015002936824
mdp.39015002999962
loc.ark:/13960/t87h1zp5p
hvd.32044106387855
uc2.ark:/13960/t2x34x712
loc.ark:/13960/t9765nw3c
mdp.39015020921014
uc1.31822031318850
inu.30000108972997
hvd.hnsv3f
inu.32000001862442
mdp.39015077827205
umn.31951000895982m
hvd.32044015195837
uiug.30112019719936
wu.89047057369
mdp.39015035881500
pst.000024700030
coo1.ark:/13960/t3417hw73
loc.ark:/13960/t52f87786
mdp.39015073286703
pst.000018572247
coo1.ark:/13960/t3903b85p
uc1.32106018273117
uc1.b4297151
uc1.b4396780
coo1.ark:/13960/t5bc4j945
coo1.ark:/13960/t83j4199r
mdp.39015029466540
hvd.hw2383
uc1.31822023734130
uc1.b4174375
uva.x002221279
uc1.31822011444874
dul1.ark:/13960/t8gf1m98j
mdp.39015066296206
loc.ark:/13960/t53f50n3f
uiug.30112007951749
uc2.ark:/13960/t4dn4322s
chi.25740174
uva.x001410882
uc2.ark:/13960/t5k935g3g
nyp.33433068268113
iau.31858042312300
uiug.30112019757274
txu.059173007136504
mdp.39015063934155
loc.ark:/13960/t1hh73z86
uc2.ark:/13960/t3611469w
uva.x001645308
umn.31951p004828396
mdp.39015043282774
uc1.32106015347567
coo.31924064987476
uc2.ark:/13960/t6b27q824
uiug.30112060131205
mdp.39015027874315
mdp.39015004850106
uc1.32106009442481
inu.30000095859215
loc.ark:/13960/t1zc8q99n
nyp.33433112014034
uva.x004596214
mdp.39015019776262
uc1.b4534651
mdp.35112204857470
uc1.b3342767
uiug.30112052576623
loc.ark:/13960/t8df7004s
hvd.32044010667467
mdp.39076001948921
uc1.b4588066
mdp.49015000994716
uc1.$b42799
mdp.39076006259829
pst.000053795014
nyp.33433068184831
mdp.39015020822352
mdp.39015011044982
hvd.32044038423414
coo.31924003356726
loc.ark:/13960/t6f19kg11
mdp.39015002703190
osu.32435026698258
hvd.hnzmun
wu.89078549466
nyp.33433061818005
umn.31951d01415557b
uc1.b3367780
osu.32435007369408
hvd.32044107308009
mdp.39015004175504
uc1.$b64006
mdp.39015009319628
uva.x002175666
uiug.30112108180271
pst.000002761626
nyp.33433061708248
uc1.c071533602
uiug.30112018680790
ucw.ark:/13960/t03x9471q
uc2.ark:/13960/fk6348gx9h
mdp.39015032836986
mdp.39015006936275
mdp.39015026918279
mdp.39015065704705
ien.35556009545393
mdp.39015081195268
umn.319510000921869
uc2.ark:/13960/t50g3jm95
mdp.39015011725036
mdp.39015034204837
uiuo.ark:/13960/t01z57r69
mdp.39015022392065
umn.31951002484234c
uc1.l0063901433
uc1.b4462163
uc1.b3545571
uc1.b4296330
uc1.b4296340
loc.ark:/13960/t75t4xc3m
uc1.32106019038949
miun.acm3740.0001.001
hvd.32044097637755
mdp.39015003506105
hvd.hw1x9j
mdp.39015024357157
uc1.31822032147621
uc2.ark:/13960/t89g5jx1q
uiug.30112019789749
hvd.32044097081343
mdp.39015016239769
uc1.31175035171415
hvd.32044074311747
uc1.$b83034
inu.30000000233266
uc1.32106005445173
pst.000065942222
uc1.b4082939
loc.ark:/13960/t1jh3s81x
mdp.39015000271158
wu.89039219290
hvd.hnykjt
mdp.39015040696869
hvd.32044090075144
uc2.ark:/13960/t91835t66
uc1.$b47858
coo.31924080834637
hvd.hxcy7r
mdp.39015032816178
uc2.ark:/13960/t5s75j045
mdp.39015018692890
mdp.39015050737017
uva.x000238930
mdp.39015002243114
nyp.33433024554721
uc2.ark:/13960/t7gq6wg8g
hvd.hnp677
mdp.39015063163714
wu.89097391346
pst.000050829293
pst.000050827251
ncs1.ark:/13960/t40s02n81
mdp.39015002092727
mcg.ark:/13960/t5k970c5j
mdp.39015050201824
nyp.33433004007559
